ns,nm,nf,entropy,lt,fix,ndev,pd,nuc,exp,rexp,sexp
0.0,0.328,0.4,0.488,0.456,0.008,0.536,0.552,0.464,0.36,0.376,0.392
0.03816793893129771,0.8702290076335878,0.916030534351145,0.732824427480916,0.8854961832061069,0.007633587786259542,0.8015267175572519,0.916030534351145,0.9007633587786259,0.6641221374045801,0.6870229007633588,0.7022900763358778
0.0,0.6,0.37142857142857144,0.6714285714285714,0.5642857142857143,0.007142857142857143,0.5642857142857143,0.6142857142857143,0.6071428571428571,0.2642857142857143,0.39285714285714285,0.29285714285714287
0.006535947712418301,0.6078431372549019,0.6601307189542484,0.6601307189542484,0.673202614379085,0.006535947712418301,0.6928104575163399,0.7058823529411765,0.673202614379085,0.1111111111111111,0.1111111111111111,0.12418300653594772
0.0,0.6417910447761194,0.5447761194029851,0.5970149253731343,0.6417910447761194,0.007462686567164179,0.6119402985074627,0.7313432835820896,0.6417910447761194,0.373134328358209,0.4253731343283582,0.40298507462686567
0.0,0.6689655172413793,0.6758620689655173,0.6896551724137931,0.7172413793103448,0.006896551724137931,0.6137931034482759,0.7586206896551724,0.7517241379310344,0.2827586206896552,0.2896551724137931,0.23448275862068965
0.006666666666666667,0.6066666666666667,0.66,0.6133333333333333,0.6533333333333333,0.006666666666666667,0.54,0.6933333333333334,0.6,0.2733333333333333,0.4,0.29333333333333333
0.0,0.4462809917355372,0.5041322314049587,0.5867768595041323,0.4793388429752066,0.0,0.5041322314049587,0.6033057851239669,0.6115702479338843,0.19834710743801653,0.18181818181818182,0.18181818181818182
0.0,0.5153846153846153,0.5230769230769231,0.6153846153846154,0.6307692307692307,0.007692307692307693,0.5153846153846153,0.6153846153846154,0.6461538461538462,0.2846153846153846,0.3153846153846154,0.3
0.0,0.3560606060606061,0.36363636363636365,0.4772727272727273,0.4621212121212121,0.0,0.4393939393939394,0.5303030303030303,0.5227272727272727,0.26515151515151514,0.25757575757575757,0.25757575757575757
