ns,nm,nf,entropy,lt,fix,ndev,pd,nuc,exp,rexp,sexp
0.21022727272727273,0.44886363636363635,0.45265151515151514,0.39015151515151514,0.5018939393939394,0.001893939393939394,0.3333333333333333,0.3693181818181818,0.022727272727272728,0.22537878787878787,0.23106060606060605,0.36363636363636365
0.002053388090349076,0.002053388090349076,0.30390143737166325,0.36344969199178645,0.5503080082135524,0.002053388090349076,0.3613963039014374,0.4537987679671458,0.09240246406570841,0.2464065708418891,0.25051334702258726,0.25256673511293637
0.1907514450867052,0.4605009633911368,0.605009633911368,0.4161849710982659,0.7630057803468208,0.0019267822736030828,0.464354527938343,0.5433526011560693,0.5664739884393064,0.29865125240847784,0.3371868978805395,0.4527938342967245
0.10953346855983773,0.4421906693711968,0.5253549695740365,0.4158215010141988,0.6227180527383367,0.0,0.359026369168357,0.5618661257606491,0.5314401622718052,0.2332657200811359,0.2515212981744422,0.332657200811359
0.0,0.0037735849056603774,0.31886792452830187,0.3584905660377358,0.45660377358490567,0.0,0.28679245283018867,0.32075471698113206,0.024528301886792454,0.2509433962264151,0.23773584905660378,0.2811320754716981
0.00202020202020202,0.00202020202020202,0.3191919191919192,0.37777777777777777,0.5535353535353535,0.00202020202020202,0.2545454545454545,0.48282828282828283,0.09898989898989899,0.23232323232323232,0.24444444444444444,0.24848484848484848
0.008350730688935281,0.07515657620041753,0.4196242171189979,0.33611691022964507,0.5177453027139874,0.0020876826722338203,0.3173277661795407,0.37995824634655534,0.38204592901878914,0.31524008350730687,0.2839248434237996,0.2964509394572025
0.013182674199623353,0.0696798493408663,0.3935969868173258,0.3559322033898305,0.4651600753295669,0.0018832391713747645,0.3370998116760829,0.4538606403013183,0.3822975517890772,0.3163841807909605,0.3107344632768362,0.3145009416195857
0.0,0.001841620626151013,0.003683241252302026,0.003683241252302026,0.4198895027624309,0.003683241252302026,0.22283609576427257,0.31675874769797424,0.03314917127071823,0.1694290976058932,0.1860036832412523,0.22467771639042358
0.0,0.0019455252918287938,0.038910505836575876,0.0311284046692607,0.46303501945525294,0.0019455252918287938,0.24319066147859922,0.38132295719844356,0.033073929961089495,0.14202334630350194,0.11284046692607004,0.18093385214007782
