nb,knn,dt,svc,rfc,gbtc,adtc
0.14791666666666667,0.09375,0.0020833333333333333,0.14791666666666667,0.13333333333333333,0.14791666666666667,0.13958333333333334
0.39925373134328357,0.22201492537313433,0.0018656716417910447,0.39925373134328357,0.35074626865671643,0.39925373134328357,0.39552238805970147
0.22465208747514911,0.147117296222664,0.0019880715705765406,0.22465208747514911,0.16699801192842942,0.22465208747514911,0.22465208747514911
0.07584830339321358,0.011976047904191617,0.001996007984031936,0.07584830339321358,0.059880239520958084,0.07584830339321358,0.07584830339321358
0.2571976967370441,0.22264875239923224,0.011516314779270634,0.2571976967370441,0.23224568138195778,0.2571976967370441,0.2571976967370441
0.18618042226487524,0.09788867562380038,0.0,0.18618042226487524,0.1343570057581574,0.18618042226487524,0.18618042226487524
0.20776699029126214,0.1029126213592233,0.003883495145631068,0.20776699029126214,0.13592233009708737,0.20776699029126214,0.20776699029126214
0.09284332688588008,0.015473887814313346,0.0019342359767891683,0.09284332688588008,0.07543520309477757,0.09284332688588008,0.09284332688588008
0.21314741035856574,0.13346613545816732,0.00796812749003984,0.21314741035856574,0.16135458167330677,0.21314741035856574,0.21314741035856574
0.2638623326959847,0.248565965583174,0.021032504780114723,0.2638623326959847,0.2332695984703633,0.2638623326959847,0.2638623326959847
