adtc,dt,gbtc,knn,nb,rfc,svc
0.17880794701986755,0.0,0.1986754966887417,0.2052980132450331,0.06622516556291391,0.2781456953642384,0.2251655629139073
0.1728395061728395,0.006172839506172839,0.19135802469135801,0.19753086419753085,0.1419753086419753,0.07407407407407407,0.25925925925925924
0.1242603550295858,0.023668639053254437,0.14201183431952663,0.15384615384615385,0.01775147928994083,0.15976331360946747,0.16568047337278108
0.265625,0.020833333333333332,0.2760416666666667,0.17708333333333334,0.17708333333333334,0.2760416666666667,0.2916666666666667
0.19161676646706588,0.041916167664670656,0.23353293413173654,0.16167664670658682,0.059880239520958084,0.19760479041916168,0.281437125748503
0.21176470588235294,0.07058823529411765,0.3,0.17647058823529413,0.0058823529411764705,0.45294117647058824,0.28823529411764703
0.11949685534591195,0.006289308176100629,0.11949685534591195,0.06918238993710692,0.05660377358490566,0.09433962264150944,0.18867924528301888
0.12886597938144329,0.030927835051546393,0.15979381443298968,0.21649484536082475,0.06701030927835051,0.18556701030927836,0.2422680412371134
0.1317365269461078,0.011976047904191617,0.15568862275449102,0.1437125748502994,0.08982035928143713,0.09580838323353294,0.11377245508982035
0.21212121212121213,0.06060606060606061,0.20606060606060606,0.2,0.030303030303030304,0.2545454545454545,0.2727272727272727
